Date,Code,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2026-01-13,50160,2277.0,2327.5,2211.0,2266.0,0,0,31486800.0,71229993100.0,1.0,2277.0,2327.5,2211.0,2266.0,31486800.0
2026-01-14,50160,2322.0,2496.0,2321.0,2436.5,0,0,46633200.0,113196281650.0,1.0,2322.0,2496.0,2321.0,2436.5,46633200.0
2026-01-15,50160,2461.5,2630.0,2442.0,2559.0,0,0,57299700.0,147301927800.0,1.0,2461.5,2630.0,2442.0,2559.0,57299700.0
2026-01-16,50160,2583.0,2698.0,2552.5,2609.5,0,0,57214900.0,150824173900.0,1.0,2583.0,2698.0,2552.5,2609.5,57214900.0
2026-01-19,50160,2602.0,2717.5,2579.0,2708.5,0,0,40355200.0,107530009350.0,1.0,2602.0,2717.5,2579.0,2708.5,40355200.0
2026-01-20,50160,2753.0,2793.0,2625.0,2675.0,0,0,51075900.0,138145874700.0,1.0,2753.0,2793.0,2625.0,2675.0,51075900.0
2026-01-21,50160,2625.0,2744.0,2595.0,2653.0,0,0,48251400.0,129539253900.0,1.0,2625.0,2744.0,2595.0,2653.0,48251400.0
2026-01-22,50160,2660.5,2678.0,2507.0,2577.5,0,0,41808400.0,107648987000.0,1.0,2660.5,2678.0,2507.0,2577.5,41808400.0
2026-01-23,50160,2673.0,2722.0,2620.5,2656.0,0,0,35778500.0,95789631700.0,1.0,2673.0,2722.0,2620.5,2656.0,35778500.0
2026-01-26,50160,2660.5,2690.5,2561.5,2564.0,0,0,26723100.0,70055334350.0,1.0,2660.5,2690.5,2561.5,2564.0,26723100.0
2026-01-27,50160,2563.5,2628.0,2540.0,2562.0,0,0,27646600.0,71489933300.0,1.0,2563.5,2628.0,2540.0,2562.0,27646600.0
2026-01-28,50160,2561.0,2638.5,2548.5,2599.0,0,0,24903600.0,64537817800.0,1.0,2561.0,2638.5,2548.5,2599.0,24903600.0
2026-01-29,50160,2649.0,2658.5,2561.5,2624.0,0,0,26357200.0,68858557700.0,1.0,2649.0,2658.5,2561.5,2624.0,26357200.0
2026-01-30,50160,2612.0,2734.0,2476.0,2536.5,0,0,43810500.0,114538622950.0,1.0,2612.0,2734.0,2476.0,2536.5,43810500.0
2026-02-02,50160,2436.5,2534.5,2341.0,2353.0,0,0,37049000.0,89911944100.0,1.0,2436.5,2534.5,2341.0,2353.0,37049000.0
2026-02-03,50160,2403.0,2487.0,2379.0,2480.5,0,0,26975800.0,65760441750.0,1.0,2403.0,2487.0,2379.0,2480.5,26975800.0
2026-02-04,50160,2580.0,2664.0,2564.5,2640.0,0,0,28234100.0,73886378650.0,1.0,2580.0,2664.0,2564.5,2640.0,28234100.0
2026-02-05,50160,2678.0,2742.0,2507.0,2546.0,0,0,46683400.0,122527693750.0,1.0,2678.0,2742.0,2507.0,2546.0,46683400.0
2026-02-06,50160,2454.5,2538.5,2430.0,2529.0,0,0,24735500.0,61399833650.0,1.0,2454.5,2538.5,2430.0,2529.0,24735500.0
2026-02-09,50160,2667.5,2709.5,2598.0,2690.0,0,0,28185300.0,74745133650.0,1.0,2667.5,2709.5,2598.0,2690.0,28185300.0
2026-02-10,50160,2728.0,2797.0,2677.0,2779.5,0,0,35455400.0,97513222250.0,1.0,2728.0,2797.0,2677.0,2779.5,35455400.0
2026-02-12,50160,3100.0,3280.0,3063.0,3280.0,1,0,17930200.0,57905695100.0,1.0,3100.0,3280.0,3063.0,3280.0,17930200.0
2026-02-13,50160,3291.0,3606.0,3177.0,3369.0,0,0,77721500.0,257944735100.0,1.0,3291.0,3606.0,3177.0,3369.0,77721500.0
2026-02-16,50160,3460.0,3468.0,3270.0,3290.0,0,0,33704400.0,112652569000.0,1.0,3460.0,3468.0,3270.0,3290.0,33704400.0
2026-02-17,50160,3325.0,3373.0,3190.0,3236.0,0,0,23073900.0,75477781800.0,1.0,3325.0,3373.0,3190.0,3236.0,23073900.0
2026-02-18,50160,3191.0,3329.0,3180.0,3249.0,0,0,20571700.0,67266609200.0,1.0,3191.0,3329.0,3180.0,3249.0,20571700.0
2026-02-19,50160,3305.0,3389.0,3285.0,3389.0,0,0,19861500.0,66556717500.0,1.0,3305.0,3389.0,3285.0,3389.0,19861500.0
2026-02-20,50160,3389.0,3437.0,3333.0,3389.0,0,0,20392400.0,69028356300.0,1.0,3389.0,3437.0,3333.0,3389.0,20392400.0
2026-02-24,50160,3522.0,3733.0,3521.0,3692.0,0,0,35098600.0,128280536800.0,1.0,3522.0,3733.0,3521.0,3692.0,35098600.0
