Date,Code,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2026-01-06,72030,3488.0,3504.0,3423.0,3429.0,0,0,21996200.0,76064552500.0,1.0,3488.0,3504.0,3423.0,3429.0,21996200.0
2026-01-07,72030,3350.0,3360.0,3326.0,3335.0,0,0,21592100.0,72139496400.0,1.0,3350.0,3360.0,3326.0,3335.0,21592100.0
2026-01-08,72030,3301.0,3328.0,3286.0,3294.0,0,0,18107700.0,59794779100.0,1.0,3301.0,3328.0,3286.0,3294.0,18107700.0
2026-01-09,72030,3322.0,3404.0,3321.0,3388.0,0,0,24104300.0,81199556300.0,1.0,3322.0,3404.0,3321.0,3388.0,24104300.0
2026-01-13,72030,3500.0,3641.0,3499.0,3641.0,0,0,50179500.0,179985278200.0,1.0,3500.0,3641.0,3499.0,3641.0,50179500.0
2026-01-14,72030,3620.0,3645.0,3562.0,3622.0,0,0,26474500.0,95657824000.0,1.0,3620.0,3645.0,3562.0,3622.0,26474500.0
2026-01-15,72030,3639.0,3764.0,3635.0,3714.0,0,0,35684100.0,132293975500.0,1.0,3639.0,3764.0,3635.0,3714.0,35684100.0
2026-01-16,72030,3675.0,3742.0,3660.0,3670.0,0,0,20254500.0,74761490300.0,1.0,3675.0,3742.0,3660.0,3670.0,20254500.0
2026-01-19,72030,3600.0,3623.0,3565.0,3623.0,0,0,17580700.0,63276314700.0,1.0,3600.0,3623.0,3565.0,3623.0,17580700.0
2026-01-20,72030,3590.0,3594.0,3528.0,3541.0,0,0,20386000.0,72349917000.0,1.0,3590.0,3594.0,3528.0,3541.0,20386000.0
2026-01-21,72030,3506.0,3559.0,3491.0,3552.0,0,0,16952900.0,59811427400.0,1.0,3506.0,3559.0,3491.0,3552.0,16952900.0
2026-01-22,72030,3630.0,3639.0,3570.0,3584.0,0,0,17423300.0,62601101600.0,1.0,3630.0,3639.0,3570.0,3584.0,17423300.0
2026-01-23,72030,3635.0,3651.0,3587.0,3624.0,0,0,21187900.0,76687907200.0,1.0,3635.0,3651.0,3587.0,3624.0,21187900.0
2026-01-26,72030,3500.0,3521.0,3460.0,3477.0,0,0,28379900.0,99009223300.0,1.0,3500.0,3521.0,3460.0,3477.0,28379900.0
2026-01-27,72030,3496.0,3498.0,3436.0,3459.0,0,0,18214200.0,63013835100.0,1.0,3496.0,3498.0,3436.0,3459.0,18214200.0
2026-01-28,72030,3368.0,3381.0,3341.0,3347.0,0,0,23115000.0,77492023100.0,1.0,3368.0,3381.0,3341.0,3347.0,23115000.0
2026-01-29,72030,3369.0,3470.0,3346.0,3448.0,0,0,24456700.0,83632351400.0,1.0,3369.0,3470.0,3346.0,3448.0,24456700.0
2026-01-30,72030,3456.0,3530.0,3452.0,3504.0,0,0,23842000.0,83381907100.0,1.0,3456.0,3530.0,3452.0,3504.0,23842000.0
2026-02-02,72030,3600.0,3627.0,3516.0,3535.0,0,0,22997000.0,82009150100.0,1.0,3600.0,3627.0,3516.0,3535.0,22997000.0
2026-02-03,72030,3621.0,3622.0,3573.0,3594.0,0,0,20936000.0,75330717300.0,1.0,3621.0,3622.0,3573.0,3594.0,20936000.0
2026-02-04,72030,3656.0,3743.0,3629.0,3725.0,0,0,28520900.0,105667217700.0,1.0,3656.0,3743.0,3629.0,3725.0,28520900.0
2026-02-05,72030,3800.0,3813.0,3694.0,3706.0,0,0,32411800.0,121516400600.0,1.0,3800.0,3813.0,3694.0,3706.0,32411800.0
2026-02-06,72030,3669.0,3793.0,3637.0,3780.0,0,0,42812900.0,159281084100.0,1.0,3669.0,3793.0,3637.0,3780.0,42812900.0
2026-02-09,72030,3999.0,4000.0,3729.0,3729.0,0,0,40235900.0,155062086700.0,1.0,3999.0,4000.0,3729.0,3729.0,40235900.0
2026-02-10,72030,3727.0,3759.0,3687.0,3714.0,0,0,27155000.0,101213922500.0,1.0,3727.0,3759.0,3687.0,3714.0,27155000.0
2026-02-12,72030,3682.0,3707.0,3630.0,3705.0,0,0,27029000.0,99672936500.0,1.0,3682.0,3707.0,3630.0,3705.0,27029000.0
2026-02-13,72030,3760.0,3787.0,3715.0,3774.0,0,0,32482400.0,122216021100.0,1.0,3760.0,3787.0,3715.0,3774.0,32482400.0
2026-02-16,72030,3759.0,3760.0,3656.0,3666.0,0,0,18417600.0,67955475400.0,1.0,3759.0,3760.0,3656.0,3666.0,18417600.0
2026-02-17,72030,3682.0,3724.0,3667.0,3713.0,0,0,13395200.0,49631809900.0,1.0,3682.0,3724.0,3667.0,3713.0,13395200.0
2026-02-18,72030,3758.0,3769.0,3719.0,3730.0,0,0,15050800.0,56374027400.0,1.0,3758.0,3769.0,3719.0,3730.0,15050800.0
2026-02-19,72030,3730.0,3786.0,3710.0,3774.0,0,0,15842100.0,59540260100.0,1.0,3730.0,3786.0,3710.0,3774.0,15842100.0
2026-02-20,72030,3710.0,3715.0,3605.0,3635.0,0,0,24781700.0,90209402900.0,1.0,3710.0,3715.0,3605.0,3635.0,24781700.0
2026-02-24,72030,3676.0,3682.0,3621.0,3656.0,0,0,20855600.0,76291788900.0,1.0,3676.0,3682.0,3621.0,3656.0,20855600.0
2026-02-25,72030,3697.0,3753.0,3680.0,3720.0,0,0,24220000.0,89995046800.0,1.0,3697.0,3753.0,3680.0,3720.0,24220000.0
2026-02-26,72030,3780.0,3821.0,3755.0,3776.0,0,0,24605000.0,93161867000.0,1.0,3780.0,3821.0,3755.0,3776.0,24605000.0
2026-02-27,72030,3740.0,3825.0,3716.0,3825.0,0,0,28621000.0,108651167900.0,1.0,3740.0,3825.0,3716.0,3825.0,28621000.0
2026-03-02,72030,3685.0,3957.0,3652.0,3944.0,0,0,44611800.0,169907079000.0,1.0,3685.0,3957.0,3652.0,3944.0,44611800.0
2026-03-03,72030,3800.0,3801.0,3673.0,3702.0,0,0,50592000.0,188519794900.0,1.0,3800.0,3801.0,3673.0,3702.0,50592000.0
2026-03-04,72030,3660.0,3669.0,3497.0,3520.0,0,0,34266800.0,121584980400.0,1.0,3660.0,3669.0,3497.0,3520.0,34266800.0
2026-03-05,72030,3600.0,3635.0,3481.0,3481.0,0,0,31699400.0,112098470100.0,1.0,3600.0,3635.0,3481.0,3481.0,31699400.0
2026-03-06,72030,3490.0,3543.0,3470.0,3515.0,0,0,20575900.0,72182793700.0,1.0,3490.0,3543.0,3470.0,3515.0,20575900.0
2026-03-09,72030,3299.0,3423.0,3295.0,3393.0,0,0,28223800.0,94872034800.0,1.0,3299.0,3423.0,3295.0,3393.0,28223800.0
2026-03-10,72030,3463.0,3517.0,3432.0,3473.0,0,0,22222100.0,77169730200.0,1.0,3463.0,3517.0,3432.0,3473.0,22222100.0
2026-03-11,72030,3501.0,3569.0,3500.0,3510.0,0,0,15207900.0,53695328100.0,1.0,3501.0,3569.0,3500.0,3510.0,15207900.0
2026-03-12,72030,3510.0,3511.0,3417.0,3467.0,0,0,19335000.0,66955227600.0,1.0,3510.0,3511.0,3417.0,3467.0,19335000.0
2026-03-13,72030,3360.0,3432.0,3360.0,3370.0,0,0,22705700.0,76658640200.0,1.0,3360.0,3432.0,3360.0,3370.0,22705700.0
2026-03-16,72030,3370.0,3380.0,3328.0,3338.0,0,0,18079900.0,60574134100.0,1.0,3370.0,3380.0,3328.0,3338.0,18079900.0
2026-03-17,72030,3377.0,3394.0,3357.0,3379.0,0,0,11542500.0,38977305300.0,1.0,3377.0,3394.0,3357.0,3379.0,11542500.0
2026-03-18,72030,3359.0,3424.0,3359.0,3404.0,0,0,15583800.0,53061680400.0,1.0,3359.0,3424.0,3359.0,3404.0,15583800.0
2026-03-19,72030,3360.0,3374.0,3316.0,3325.0,0,0,23090100.0,77008470200.0,1.0,3360.0,3374.0,3316.0,3325.0,23090100.0
2026-03-23,72030,3278.0,3280.0,3190.0,3251.0,0,0,22909400.0,74392647700.0,1.0,3278.0,3280.0,3190.0,3251.0,22909400.0
2026-03-24,72030,3321.0,3336.0,3258.0,3271.0,0,0,16565700.0,54438228300.0,1.0,3321.0,3336.0,3258.0,3271.0,16565700.0
2026-03-25,72030,3389.0,3420.0,3328.0,3338.0,0,0,18556700.0,62281497100.0,1.0,3389.0,3420.0,3328.0,3338.0,18556700.0
2026-03-26,72030,3383.0,3388.0,3348.0,3388.0,0,0,16107200.0,54416616400.0,1.0,3383.0,3388.0,3348.0,3388.0,16107200.0
2026-03-27,72030,3355.0,3434.0,3346.0,3408.0,0,0,28198100.0,95959203100.0,1.0,3355.0,3434.0,3346.0,3408.0,28198100.0
2026-03-30,72030,3204.0,3237.0,3168.0,3224.0,0,0,30941700.0,99392978400.0,1.0,3204.0,3237.0,3168.0,3224.0,30941700.0
2026-03-31,72030,3200.0,3252.0,3162.0,3162.0,0,0,26872400.0,85539518000.0,1.0,3200.0,3252.0,3162.0,3162.0,26872400.0
2026-04-01,72030,3280.0,3311.0,3253.0,3311.0,0,0,25388600.0,83533137400.0,1.0,3280.0,3311.0,3253.0,3311.0,25388600.0
2026-04-02,72030,3365.0,3384.0,3251.0,3262.0,0,0,21711400.0,71978470700.0,1.0,3365.0,3384.0,3251.0,3262.0,21711400.0
