Date,Code,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2026-01-06,99840,4690.0,4735.0,4531.0,4719.0,0,0,53943700.0,251720278000.0,1.0,4690.0,4735.0,4531.0,4719.0,53943700.0
2026-01-07,99840,4630.0,4715.0,4587.0,4653.0,0,0,43483900.0,202734611700.0,1.0,4630.0,4715.0,4587.0,4653.0,43483900.0
2026-01-08,99840,4600.0,4606.0,4300.0,4300.0,0,0,56546700.0,249617453700.0,1.0,4600.0,4606.0,4300.0,4300.0,56546700.0
2026-01-09,99840,4300.0,4338.0,4205.0,4263.0,0,0,46487100.0,198493045700.0,1.0,4300.0,4338.0,4205.0,4263.0,46487100.0
2026-01-13,99840,4500.0,4571.0,4382.0,4447.0,0,0,62883200.0,281705937400.0,1.0,4500.0,4571.0,4382.0,4447.0,62883200.0
2026-01-14,99840,4443.0,4444.0,4180.0,4261.0,0,0,55614200.0,237747025100.0,1.0,4443.0,4444.0,4180.0,4261.0,55614200.0
2026-01-15,99840,4150.0,4177.0,4014.0,4051.0,0,0,51883200.0,211197542300.0,1.0,4150.0,4177.0,4014.0,4051.0,51883200.0
2026-01-16,99840,4080.0,4133.0,4010.0,4010.0,0,0,35301000.0,143569246800.0,1.0,4080.0,4133.0,4010.0,4010.0,35301000.0
2026-01-19,99840,3910.0,3999.0,3871.0,3982.0,0,0,32598800.0,129067141600.0,1.0,3910.0,3999.0,3871.0,3982.0,32598800.0
2026-01-20,99840,4022.0,4029.0,3841.0,3851.0,0,0,44155500.0,171536435500.0,1.0,4022.0,4029.0,3841.0,3851.0,44155500.0
2026-01-21,99840,3735.0,3935.0,3730.0,3875.0,0,0,42997200.0,166091487500.0,1.0,3735.0,3935.0,3730.0,3875.0,42997200.0
2026-01-22,99840,4010.0,4394.0,3896.0,4325.0,0,0,111917900.0,472600334000.0,1.0,4010.0,4394.0,3896.0,4325.0,111917900.0
2026-01-23,99840,4325.0,4327.0,4110.0,4274.0,0,0,68150900.0,286012640900.0,1.0,4325.0,4327.0,4110.0,4274.0,68150900.0
2026-01-26,99840,4134.0,4153.0,3995.0,4065.0,0,0,53816300.0,219359866000.0,1.0,4134.0,4153.0,3995.0,4065.0,53816300.0
2026-01-27,99840,4111.0,4126.0,4043.0,4051.0,0,0,30045500.0,122530854900.0,1.0,4111.0,4126.0,4043.0,4051.0,30045500.0
2026-01-28,99840,4051.0,4408.0,4011.0,4201.0,0,0,86639900.0,363224123400.0,1.0,4051.0,4408.0,4011.0,4201.0,86639900.0
2026-01-29,99840,4180.0,4355.0,4049.0,4265.0,0,0,65280700.0,273720441900.0,1.0,4180.0,4355.0,4049.0,4265.0,65280700.0
2026-01-30,99840,4377.0,4495.0,4211.0,4253.0,0,0,67222700.0,292624325400.0,1.0,4377.0,4495.0,4211.0,4253.0,67222700.0
2026-02-02,99840,4123.0,4270.0,4068.0,4090.0,0,0,51854000.0,215210043400.0,1.0,4123.0,4270.0,4068.0,4090.0,51854000.0
2026-02-03,99840,4220.0,4317.0,4166.0,4300.0,0,0,39106600.0,166247063700.0,1.0,4220.0,4317.0,4166.0,4300.0,39106600.0
2026-02-04,99840,4220.0,4339.0,4159.0,4207.0,0,0,41075700.0,174223090700.0,1.0,4220.0,4339.0,4159.0,4207.0,41075700.0
2026-02-05,99840,3997.0,4043.0,3895.0,3912.0,0,0,50584100.0,200120873800.0,1.0,3997.0,4043.0,3895.0,3912.0,50584100.0
2026-02-06,99840,3873.0,4033.0,3790.0,3999.0,0,0,50504700.0,198298226900.0,1.0,3873.0,4033.0,3790.0,3999.0,50504700.0
2026-02-09,99840,4340.0,4346.0,4223.0,4251.0,0,0,59539600.0,255612099800.0,1.0,4340.0,4346.0,4223.0,4251.0,59539600.0
2026-02-10,99840,4505.0,4759.0,4468.0,4705.0,0,0,80120100.0,372214023000.0,1.0,4505.0,4759.0,4468.0,4705.0,80120100.0
2026-02-12,99840,4755.0,4954.0,4715.0,4817.0,0,0,72447700.0,350856125700.0,1.0,4755.0,4954.0,4715.0,4817.0,72447700.0
2026-02-13,99840,4747.0,4886.0,4382.0,4390.0,0,0,75769800.0,344769976200.0,1.0,4747.0,4886.0,4382.0,4390.0,75769800.0
2026-02-16,99840,4409.0,4734.0,4378.0,4688.0,0,0,61481900.0,282851008500.0,1.0,4409.0,4734.0,4378.0,4688.0,61481900.0
2026-02-17,99840,4700.0,4702.0,4373.0,4449.0,0,0,46194900.0,206348607000.0,1.0,4700.0,4702.0,4373.0,4449.0,46194900.0
2026-02-18,99840,4470.0,4474.0,4317.0,4326.0,0,0,29825000.0,130130149600.0,1.0,4470.0,4474.0,4317.0,4326.0,29825000.0
2026-02-19,99840,4356.0,4555.0,4291.0,4440.0,0,0,53224200.0,235104725100.0,1.0,4356.0,4555.0,4291.0,4440.0,53224200.0
2026-02-20,99840,4389.0,4406.0,4257.0,4329.0,0,0,29922000.0,128648384800.0,1.0,4389.0,4406.0,4257.0,4329.0,29922000.0
2026-02-24,99840,4150.0,4174.0,4074.0,4096.0,0,0,33697200.0,138911246200.0,1.0,4150.0,4174.0,4074.0,4096.0,33697200.0
