Date,Code,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2026-01-06,67580,4062.0,4124.0,4047.0,4111.0,0,0,14134700.0,57841538300.0,1.0,4062.0,4124.0,4047.0,4111.0,14134700.0
2026-01-07,67580,4045.0,4052.0,3948.0,3976.0,0,0,24382400.0,97177886000.0,1.0,4045.0,4052.0,3948.0,3976.0,24382400.0
2026-01-08,67580,3970.0,3974.0,3908.0,3930.0,0,0,16921400.0,66722207700.0,1.0,3970.0,3974.0,3908.0,3930.0,16921400.0
2026-01-09,67580,3860.0,3921.0,3855.0,3876.0,0,0,20179800.0,78339165100.0,1.0,3860.0,3921.0,3855.0,3876.0,20179800.0
2026-01-13,67580,3828.0,3883.0,3805.0,3835.0,0,0,28446400.0,109339858600.0,1.0,3828.0,3883.0,3805.0,3835.0,28446400.0
2026-01-14,67580,3905.0,3906.0,3830.0,3848.0,0,0,23065400.0,89023565000.0,1.0,3905.0,3906.0,3830.0,3848.0,23065400.0
2026-01-15,67580,3905.0,3958.0,3880.0,3904.0,0,0,19963800.0,78216189100.0,1.0,3905.0,3958.0,3880.0,3904.0,19963800.0
2026-01-16,67580,3870.0,3872.0,3825.0,3852.0,0,0,18315800.0,70524483200.0,1.0,3870.0,3872.0,3825.0,3852.0,18315800.0
2026-01-19,67580,3783.0,3814.0,3758.0,3780.0,0,0,13754500.0,51981909400.0,1.0,3783.0,3814.0,3758.0,3780.0,13754500.0
2026-01-20,67580,3770.0,3785.0,3736.0,3736.0,0,0,13896800.0,52113067700.0,1.0,3770.0,3785.0,3736.0,3736.0,13896800.0
2026-01-21,67580,3706.0,3775.0,3660.0,3701.0,0,0,18278100.0,67674831100.0,1.0,3706.0,3775.0,3660.0,3701.0,18278100.0
2026-01-22,67580,3704.0,3713.0,3631.0,3631.0,0,0,18326300.0,67055335100.0,1.0,3704.0,3713.0,3631.0,3631.0,18326300.0
2026-01-23,67580,3600.0,3669.0,3592.0,3614.0,0,0,25770900.0,93335923000.0,1.0,3600.0,3669.0,3592.0,3614.0,25770900.0
2026-01-26,67580,3505.0,3559.0,3497.0,3546.0,0,0,20403200.0,71981139300.0,1.0,3505.0,3559.0,3497.0,3546.0,20403200.0
2026-01-27,67580,3535.0,3540.0,3475.0,3490.0,0,0,17298200.0,60463140700.0,1.0,3535.0,3540.0,3475.0,3490.0,17298200.0
2026-01-28,67580,3420.0,3435.0,3386.0,3404.0,0,0,20682800.0,70497949000.0,1.0,3420.0,3435.0,3386.0,3404.0,20682800.0
2026-01-29,67580,3371.0,3450.0,3331.0,3432.0,0,0,22968600.0,78286300000.0,1.0,3371.0,3450.0,3331.0,3432.0,22968600.0
2026-01-30,67580,3459.0,3462.0,3392.0,3454.0,0,0,18737100.0,64466354300.0,1.0,3459.0,3462.0,3392.0,3454.0,18737100.0
2026-02-02,67580,3400.0,3482.0,3378.0,3409.0,0,0,19623600.0,67108957800.0,1.0,3400.0,3482.0,3378.0,3409.0,19623600.0
2026-02-03,67580,3505.0,3523.0,3461.0,3505.0,0,0,22011200.0,77101452900.0,1.0,3505.0,3523.0,3461.0,3505.0,22011200.0
2026-02-04,67580,3314.0,3379.0,3313.0,3345.0,0,0,22523600.0,75385690300.0,1.0,3314.0,3379.0,3313.0,3345.0,22523600.0
2026-02-05,67580,3250.0,3542.0,3230.0,3348.0,0,0,59424500.0,199457509400.0,1.0,3250.0,3542.0,3230.0,3348.0,59424500.0
2026-02-06,67580,3418.0,3571.0,3368.0,3507.0,0,0,45791100.0,159609783400.0,1.0,3418.0,3571.0,3368.0,3507.0,45791100.0
2026-02-09,67580,3622.0,3624.0,3433.0,3455.0,0,0,30925100.0,108422071300.0,1.0,3622.0,3624.0,3433.0,3455.0,30925100.0
2026-02-10,67580,3457.0,3576.0,3456.0,3560.0,0,0,24349100.0,86088187800.0,1.0,3457.0,3576.0,3456.0,3560.0,24349100.0
2026-02-12,67580,3561.0,3640.0,3528.0,3605.0,0,0,26693700.0,95966468500.0,1.0,3561.0,3640.0,3528.0,3605.0,26693700.0
2026-02-13,67580,3576.0,3620.0,3552.0,3552.0,0,0,25520600.0,91215090600.0,1.0,3576.0,3620.0,3552.0,3552.0,25520600.0
2026-02-16,67580,3560.0,3631.0,3541.0,3608.0,0,0,15903500.0,57259248500.0,1.0,3560.0,3631.0,3541.0,3608.0,15903500.0
2026-02-17,67580,3602.0,3603.0,3458.0,3487.0,0,0,18584500.0,65043811200.0,1.0,3602.0,3603.0,3458.0,3487.0,18584500.0
2026-02-18,67580,3468.0,3500.0,3459.0,3473.0,0,0,19521400.0,67833309800.0,1.0,3468.0,3500.0,3459.0,3473.0,19521400.0
2026-02-19,67580,3501.0,3513.0,3443.0,3445.0,0,0,16055700.0,55597357700.0,1.0,3501.0,3513.0,3443.0,3445.0,16055700.0
2026-02-20,67580,3401.0,3412.0,3315.0,3336.0,0,0,26683400.0,89289842100.0,1.0,3401.0,3412.0,3315.0,3336.0,26683400.0
2026-02-24,67580,3260.0,3356.0,3250.0,3306.0,0,0,28076300.0,92723246300.0,1.0,3260.0,3356.0,3250.0,3306.0,28076300.0
2026-02-25,67580,3324.0,3346.0,3277.0,3292.0,0,0,24268700.0,80095834700.0,1.0,3324.0,3346.0,3277.0,3292.0,24268700.0
2026-02-26,67580,3337.0,3430.0,3323.0,3398.0,0,0,28179600.0,95531824400.0,1.0,3337.0,3430.0,3323.0,3398.0,28179600.0
2026-02-27,67580,3629.0,3655.0,3564.0,3643.0,0,0,42570600.0,154509092100.0,1.0,3629.0,3655.0,3564.0,3643.0,42570600.0
2026-03-02,67580,3578.0,3598.0,3534.0,3593.0,0,0,20165800.0,72087776200.0,1.0,3578.0,3598.0,3534.0,3593.0,20165800.0
2026-03-03,67580,3481.0,3499.0,3363.0,3368.0,0,0,30013100.0,102196144300.0,1.0,3481.0,3499.0,3363.0,3368.0,30013100.0
2026-03-04,67580,3368.0,3467.0,3354.0,3389.0,0,0,29308300.0,99877721400.0,1.0,3368.0,3467.0,3354.0,3389.0,29308300.0
2026-03-05,67580,3459.0,3463.0,3355.0,3380.0,0,0,25755800.0,87655619800.0,1.0,3459.0,3463.0,3355.0,3380.0,25755800.0
2026-03-06,67580,3358.0,3490.0,3348.0,3473.0,0,0,17518800.0,60276113800.0,1.0,3358.0,3490.0,3348.0,3473.0,17518800.0
2026-03-09,67580,3220.0,3346.0,3218.0,3346.0,0,0,25561600.0,84235911300.0,1.0,3220.0,3346.0,3218.0,3346.0,25561600.0
