Date,Code,Open,High,Low,Close,UpperLimit,LowerLimit,Volume,TurnoverValue,AdjFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2026-01-06,40630,5035.0,5233.0,5035.0,5226.0,0,0,11480400.0,59228011900.0,1.0,5035.0,5233.0,5035.0,5226.0,11480400.0
2026-01-07,40630,5244.0,5280.0,5170.0,5244.0,0,0,8190700.0,42958393600.0,1.0,5244.0,5280.0,5170.0,5244.0,8190700.0
2026-01-08,40630,5103.0,5123.0,5014.0,5035.0,0,0,9244300.0,46713105000.0,1.0,5103.0,5123.0,5014.0,5035.0,9244300.0
2026-01-09,40630,5135.0,5183.0,5088.0,5114.0,0,0,7061700.0,36214858800.0,1.0,5135.0,5183.0,5088.0,5114.0,7061700.0
2026-01-13,40630,5326.0,5460.0,5292.0,5444.0,0,0,11485200.0,61906744800.0,1.0,5326.0,5460.0,5292.0,5444.0,11485200.0
2026-01-14,40630,5458.0,5590.0,5425.0,5552.0,0,0,9388400.0,51880585500.0,1.0,5458.0,5590.0,5425.0,5552.0,9388400.0
2026-01-15,40630,5526.0,5798.0,5521.0,5655.0,0,0,11432600.0,65012374400.0,1.0,5526.0,5798.0,5521.0,5655.0,11432600.0
2026-01-16,40630,5655.0,5717.0,5613.0,5690.0,0,0,7117000.0,40370277600.0,1.0,5655.0,5717.0,5613.0,5690.0,7117000.0
2026-01-19,40630,5600.0,5707.0,5545.0,5700.0,0,0,5877400.0,33124391800.0,1.0,5600.0,5707.0,5545.0,5700.0,5877400.0
2026-01-20,40630,5600.0,5645.0,5545.0,5545.0,0,0,5347800.0,29854195900.0,1.0,5600.0,5645.0,5545.0,5545.0,5347800.0
2026-01-21,40630,5435.0,5583.0,5434.0,5489.0,0,0,5952400.0,32761237900.0,1.0,5435.0,5583.0,5434.0,5489.0,5952400.0
2026-01-22,40630,5545.0,5704.0,5535.0,5651.0,0,0,6519700.0,36794772600.0,1.0,5545.0,5704.0,5535.0,5651.0,6519700.0
2026-01-23,40630,5690.0,5691.0,5595.0,5631.0,0,0,3403500.0,19183415000.0,1.0,5690.0,5691.0,5595.0,5631.0,3403500.0
2026-01-26,40630,5471.0,5479.0,5362.0,5449.0,0,0,8000300.0,43400429800.0,1.0,5471.0,5479.0,5362.0,5449.0,8000300.0
2026-01-27,40630,5426.0,5486.0,5293.0,5476.0,0,0,7533400.0,40740655000.0,1.0,5426.0,5486.0,5293.0,5476.0,7533400.0
2026-01-28,40630,4978.0,5055.0,4852.0,4865.0,0,0,29925500.0,147105160200.0,1.0,4978.0,5055.0,4852.0,4865.0,29925500.0
2026-01-29,40630,4865.0,4978.0,4812.0,4908.0,0,0,16997000.0,83482267800.0,1.0,4865.0,4978.0,4812.0,4908.0,16997000.0
2026-01-30,40630,4994.0,5129.0,4954.0,5129.0,0,0,11111900.0,56258424600.0,1.0,4994.0,5129.0,4954.0,5129.0,11111900.0
2026-02-02,40630,5222.0,5266.0,5063.0,5127.0,0,0,9389600.0,48365203800.0,1.0,5222.0,5266.0,5063.0,5127.0,9389600.0
2026-02-03,40630,5195.0,5195.0,5102.0,5133.0,0,0,7707400.0,39623468800.0,1.0,5195.0,5195.0,5102.0,5133.0,7707400.0
2026-02-04,40630,5130.0,5279.0,5109.0,5219.0,0,0,13929000.0,72673019600.0,1.0,5130.0,5279.0,5109.0,5219.0,13929000.0
2026-02-05,40630,5222.0,5309.0,5179.0,5179.0,0,0,12929100.0,67570743200.0,1.0,5222.0,5309.0,5179.0,5179.0,12929100.0
2026-02-06,40630,5122.0,5159.0,5083.0,5104.0,0,0,8063500.0,41255342500.0,1.0,5122.0,5159.0,5083.0,5104.0,8063500.0
2026-02-09,40630,5217.0,5311.0,5191.0,5273.0,0,0,14982300.0,78694986500.0,1.0,5217.0,5311.0,5191.0,5273.0,14982300.0
2026-02-10,40630,5354.0,5483.0,5350.0,5449.0,0,0,9816800.0,53325627800.0,1.0,5354.0,5483.0,5350.0,5449.0,9816800.0
2026-02-12,40630,5400.0,5741.0,5383.0,5741.0,0,0,29186300.0,161675479400.0,1.0,5400.0,5741.0,5383.0,5741.0,29186300.0
2026-02-13,40630,5721.0,5723.0,5493.0,5499.0,0,0,14912500.0,83455704700.0,1.0,5721.0,5723.0,5493.0,5499.0,14912500.0
2026-02-16,40630,5526.0,5618.0,5475.0,5618.0,0,0,6536400.0,36383907800.0,1.0,5526.0,5618.0,5475.0,5618.0,6536400.0
2026-02-17,40630,5497.0,5502.0,5373.0,5423.0,0,0,6809300.0,37048131100.0,1.0,5497.0,5502.0,5373.0,5423.0,6809300.0
2026-02-18,40630,5470.0,5586.0,5458.0,5553.0,0,0,5051300.0,27986230200.0,1.0,5470.0,5586.0,5458.0,5553.0,5051300.0
2026-02-19,40630,5640.0,5752.0,5620.0,5745.0,0,0,7383800.0,42133171300.0,1.0,5640.0,5752.0,5620.0,5745.0,7383800.0
2026-02-20,40630,5680.0,5769.0,5627.0,5750.0,0,0,5914500.0,33841140500.0,1.0,5680.0,5769.0,5627.0,5750.0,5914500.0
2026-02-24,40630,5665.0,5970.0,5632.0,5930.0,0,0,9451300.0,55422079400.0,1.0,5665.0,5970.0,5632.0,5930.0,9451300.0
2026-02-25,40630,6006.0,6019.0,5854.0,5934.0,0,0,9617100.0,57210965600.0,1.0,6006.0,6019.0,5854.0,5934.0,9617100.0
2026-02-26,40630,5981.0,6038.0,5938.0,5978.0,0,0,6815000.0,40749979200.0,1.0,5981.0,6038.0,5938.0,5978.0,6815000.0
2026-02-27,40630,6003.0,6187.0,5985.0,6168.0,0,0,10708600.0,65667615500.0,1.0,6003.0,6187.0,5985.0,6168.0,10708600.0
2026-03-02,40630,6140.0,6323.0,6073.0,6323.0,0,0,9560500.0,59651762700.0,1.0,6140.0,6323.0,6073.0,6323.0,9560500.0
2026-03-03,40630,6223.0,6319.0,6070.0,6117.0,0,0,9427300.0,58181127400.0,1.0,6223.0,6319.0,6070.0,6117.0,9427300.0
2026-03-04,40630,6000.0,6116.0,5860.0,5934.0,0,0,9919800.0,58975875100.0,1.0,6000.0,6116.0,5860.0,5934.0,9919800.0
2026-03-05,40630,6034.0,6426.0,6010.0,6226.0,0,0,15628900.0,97498910000.0,1.0,6034.0,6426.0,6010.0,6226.0,15628900.0
2026-03-06,40630,6126.0,6288.0,6055.0,6247.0,0,0,8743300.0,54222129400.0,1.0,6126.0,6288.0,6055.0,6247.0,8743300.0
2026-03-09,40630,5898.0,5989.0,5816.0,5970.0,0,0,13096700.0,77355132300.0,1.0,5898.0,5989.0,5816.0,5970.0,13096700.0
2026-03-10,40630,6018.0,6167.0,5985.0,6098.0,0,0,11025600.0,67060705600.0,1.0,6018.0,6167.0,5985.0,6098.0,11025600.0
2026-03-11,40630,6185.0,6274.0,6122.0,6150.0,0,0,6628700.0,41023017800.0,1.0,6185.0,6274.0,6122.0,6150.0,6628700.0
2026-03-12,40630,6150.0,6418.0,6127.0,6401.0,0,0,12674600.0,80355502900.0,1.0,6150.0,6418.0,6127.0,6401.0,12674600.0
2026-03-13,40630,6301.0,6533.0,6273.0,6531.0,0,0,13581100.0,87438790700.0,1.0,6301.0,6533.0,6273.0,6531.0,13581100.0
2026-03-16,40630,6553.0,6570.0,6451.0,6505.0,0,0,9079200.0,59139300400.0,1.0,6553.0,6570.0,6451.0,6505.0,9079200.0
2026-03-17,40630,6624.0,6675.0,6426.0,6433.0,0,0,8067900.0,52706322600.0,1.0,6624.0,6675.0,6426.0,6433.0,8067900.0
2026-03-18,40630,6531.0,6740.0,6504.0,6720.0,0,0,8883400.0,59149942100.0,1.0,6531.0,6740.0,6504.0,6720.0,8883400.0
2026-03-19,40630,6563.0,6641.0,6373.0,6373.0,0,0,10998400.0,70949783500.0,1.0,6563.0,6641.0,6373.0,6373.0,10998400.0
2026-03-23,40630,5991.0,6116.0,5840.0,6073.0,0,0,17076600.0,102655797800.0,1.0,5991.0,6116.0,5840.0,6073.0,17076600.0
2026-03-24,40630,6273.0,6297.0,6015.0,6060.0,0,0,8234900.0,50430506300.0,1.0,6273.0,6297.0,6015.0,6060.0,8234900.0
2026-03-25,40630,6347.0,6404.0,6217.0,6294.0,0,0,8538900.0,53861361400.0,1.0,6347.0,6404.0,6217.0,6294.0,8538900.0
2026-03-26,40630,6340.0,6384.0,6217.0,6291.0,0,0,7075700.0,44642973700.0,1.0,6340.0,6384.0,6217.0,6291.0,7075700.0
2026-03-27,40630,6200.0,6245.0,6125.0,6140.0,0,0,10144400.0,62558338900.0,1.0,6200.0,6245.0,6125.0,6140.0,10144400.0
2026-03-30,40630,5934.0,6219.0,5902.0,6217.0,0,0,11289900.0,69025058400.0,1.0,5934.0,6219.0,5902.0,6217.0,11289900.0
2026-03-31,40630,6176.0,6390.0,6157.0,6259.0,0,0,12978800.0,81494523700.0,1.0,6176.0,6390.0,6157.0,6259.0,12978800.0
2026-04-01,40630,6459.0,6505.0,6313.0,6505.0,0,0,9274100.0,59738881700.0,1.0,6459.0,6505.0,6313.0,6505.0,9274100.0
2026-04-02,40630,6508.0,6545.0,6316.0,6412.0,0,0,7241600.0,46445341800.0,1.0,6508.0,6545.0,6316.0,6412.0,7241600.0
2026-04-03,40630,6437.0,6471.0,6390.0,6450.0,0,0,4405400.0,28353321100.0,1.0,6437.0,6471.0,6390.0,6450.0,4405400.0
2026-04-06,40630,6466.0,6613.0,6438.0,6523.0,0,0,5253100.0,34331994000.0,1.0,6466.0,6613.0,6438.0,6523.0,5253100.0
2026-04-07,40630,6571.0,6652.0,6551.0,6574.0,0,0,4807800.0,31691262100.0,1.0,6571.0,6652.0,6551.0,6574.0,4807800.0
2026-04-08,40630,6674.0,6733.0,6383.0,6470.0,0,0,18412500.0,119795687700.0,1.0,6674.0,6733.0,6383.0,6470.0,18412500.0
2026-04-09,40630,6485.0,6558.0,6422.0,6506.0,0,0,9355900.0,60854013800.0,1.0,6485.0,6558.0,6422.0,6506.0,9355900.0
2026-04-10,40630,6558.0,6614.0,6490.0,6556.0,0,0,6428200.0,42151984900.0,1.0,6558.0,6614.0,6490.0,6556.0,6428200.0
2026-04-13,40630,6600.0,6694.0,6552.0,6662.0,0,0,8241400.0,54625618300.0,1.0,6600.0,6694.0,6552.0,6662.0,8241400.0
2026-04-14,40630,6696.0,6696.0,6573.0,6695.0,0,0,6472300.0,43107584200.0,1.0,6696.0,6696.0,6573.0,6695.0,6472300.0
2026-04-15,40630,6750.0,6863.0,6725.0,6809.0,0,0,10556400.0,71795608000.0,1.0,6750.0,6863.0,6725.0,6809.0,10556400.0
2026-04-16,40630,6750.0,6944.0,6654.0,6910.0,0,0,8265500.0,56601092100.0,1.0,6750.0,6944.0,6654.0,6910.0,8265500.0
2026-04-17,40630,6830.0,6996.0,6772.0,6907.0,0,0,8437800.0,58165130500.0,1.0,6830.0,6996.0,6772.0,6907.0,8437800.0
2026-04-20,40630,6847.0,6886.0,6730.0,6773.0,0,0,9389000.0,63757829600.0,1.0,6847.0,6886.0,6730.0,6773.0,9389000.0
2026-04-21,40630,6783.0,6912.0,6733.0,6733.0,0,0,8190200.0,55705981200.0,1.0,6783.0,6912.0,6733.0,6733.0,8190200.0
2026-04-22,40630,6710.0,6742.0,6634.0,6642.0,0,0,6503000.0,43391137900.0,1.0,6710.0,6742.0,6634.0,6642.0,6503000.0
